place,number,rate,park,nightlife,children,nature,sports,historic,art_science,aquatic,shows,adventure
richmond-va,1138,4.41,49.14,14.86,34.69,67.95,19.13,227.94,26.7,25.36,19.88,4.0
rio-rancho-nm,554,4.02,13.17,20.17,53.33,54.08,18.75,140.28,111.3,5.0,13.92,30.42
riverside-ca,3707,4.57,81.02,5.32,87.96,72.05,54.38,141.46,108.58,31.77,94.61,34.67
riverview-fl,1842,4.32,57.69,16.84,96.44,54.07,66.66,145.19,116.92,35.61,154.42,25.23
roanoke-va,365,4.14,16.81,0.0,17.47,76.87,28.83,60.55,28.55,3.32,0.0,11.78
rochester-mn,578,4.39,33.08,0.0,32.93,34.32,30.66,36.51,28.27,4.0,16.6,18.72
rochester-ny,781,4.22,51.55,9.09,46.42,111.83,40.55,93.63,62.09,24.5,89.62,15.06
rock-hill-sc,2181,4.36,64.15,80.07,92.19,112.93,87.1,128.22,139.7,24.41,139.6,54.28
rockford-il,952,4.39,42.43,4.17,38.73,40.74,45.35,81.42,38.12,14.66,33.79,13.34
rocklin-ca,906,4.09,28.93,33.61,53.22,77.19,41.82,136.43,76.17,17.92,55.77,18.72
rockville-md,4870,4.58,91.72,91.94,51.59,125.67,65.59,508.8,257.14,32.03,160.41,43.61
rocky-mount-nc,298,4.06,46.55,0.0,20.46,52.77,23.17,70.89,11.95,17.52,0.0,12.58
rogers-ar,478,4.02,11.17,2.58,57.28,88.06,37.58,65.06,69.69,9.4,54.88,32.49
rosemead-ca,8193,4.62,91.8,54.74,125.37,81.69,112.48,279.26,277.64,42.69,222.54,54.67
roseville-ca,782,4.01,30.93,33.61,46.26,72.34,41.82,145.25,87.83,14.34,55.77,18.72
roswell-ga,4087,4.47,93.67,57.48,93.87,198.19,97.6,182.34,148.25,19.53,198.25,48.24
round-rock-tx,2698,4.47,68.22,90.25,54.44,142.93,93.18,134.22,153.59,7.13,130.75,48.62
rowlett-tx,3551,4.36,105.43,80.59,108.53,113.71,34.09,87.42,141.64,11.72,102.59,49.9
royal-oak-mi,3741,4.46,68.85,45.5,79.36,85.3,150.0,203.54,183.48,12.99,188.12,40.07
sacramento-ca,852,4.07,33.61,25.83,56.6,78.14,38.22,149.08,95.83,14.75,55.77,16.4
salem-or,188,4.0,13.17,3.81,33.64,21.92,4.17,44.38,36.78,12.17,0.0,20.09
salt-lake-city-ut,1232,4.13,63.47,6.17,58.48,79.72,66.37,123.53,116.5,11.17,28.14,16.91
san-angelo-tx,101,4.29,18.52,0.0,6.17,69.01,21.01,33.83,4.75,0.0,0.0,1.0
san-antonio-tx,2608,4.35,78.1,21.42,87.44,150.67,77.5,195.47,98.27,1.0,57.76,35.77
san-bernardino-ca,1329,4.15,66.35,5.32,71.56,74.06,77.65,135.71,70.25,23.7,85.96,50.54
san-clemente-ca,3628,4.53,77.7,9.13,105.49,82.81,72.73,130.28,109.88,67.77,109.23,55.34
san-diego-ca,3737,4.34,44.95,88.34,101.41,70.63,55.32,214.61,212.97,72.9,127.12,25.43
san-francisco-ca,4726,4.44,73.61,87.67,97.54,84.42,55.53,280.35,262.71,25.18,229.66,66.77
san-jose-ca,2327,4.4,62.48,36.27,76.18,93.94,72.22,162.2,118.29,26.42,52.95,29.3
san-leandro-ca,3271,4.48,40.82,28.7,123.8,80.03,62.15,259.22,224.02,22.71,81.1,71.36
san-mateo-ca,3297,4.47,51.8,28.7,121.96,86.74,63.37,263.46,220.43,27.51,85.69,81.73
san-rafael-ca,3055,4.38,42.38,53.49,119.77,93.21,42.31,256.95,237.96,22.93,118.1,67.66
san-ramon-ca,3309,4.49,45.58,23.2,101.02,83.61,49.29,248.64,233.97,21.71,132.38,50.36
san-tan-valley-az,1400,4.23,18.75,25.37,43.77,55.94,60.66,133.35,108.61,5.46,152.06,31.42
sandy-springs-ga,4165,4.47,100.47,62.24,96.62,176.75,98.68,200.01,150.56,24.62,204.06,49.7
sanford-fl,1741,4.21,61.9,35.22,125.41,105.26,87.36,151.51,83.8,62.87,41.01,56.28
santa-ana-ca,4887,4.48,97.76,17.01,117.87,90.43,69.75,195.78,183.12,55.35,129.64,59.7
santa-barbara-ca,821,4.23,39.18,17.76,29.93,96.35,18.91,96.48,46.79,44.89,39.45,26.04
santa-clara-ca,3213,4.48,56.04,22.59,84.37,130.65,73.64,222.94,184.89,33.49,52.95,31.79
santa-clarita-ca,5189,4.54,80.59,50.82,96.08,87.73,64.59,292.33,235.68,31.96,217.63,73.54
santa-cruz-ca,2060,4.39,73.82,16.92,91.19,134.34,62.07,165.9,142.58,40.34,45.13,37.37
santa-fe-nm,408,4.1,15.17,5.75,24.24,38.55,13.75,108.42,57.34,6.0,5.17,17.56
santa-maria-ca,508,4.26,32.96,5.32,21.69,107.13,30.99,52.88,26.06,32.92,42.77,8.85
santa-monica-ca,8332,4.6,109.26,45.69,130.59,102.85,97.25,268.62,246.36,47.68,166.44,72.52
santee-ca,3586,4.38,46.54,61.3,127.63,78.11,76.63,208.45,225.4,67.62,130.39,31.76
sarasota-fl,945,4.22,41.71,29.19,53.75,57.42,30.3,77.35,62.01,35.28,142.17,9.46
savannah-ga,1028,4.05,40.47,7.64,28.34,77.66,17.21,257.11,99.65,10.17,50.48,10.29
schaumburg-il,6226,4.5,67.38,73.72,120.97,96.78,116.68,276.27,303.64,38.04,301.49,48.01
schenectady-ny,1030,4.27,24.21,1.0,20.29,42.65,42.93,93.51,48.9,7.58,70.64,23.06
scottsdale-az,1925,4.23,21.34,29.46,71.1,53.79,85.02,176.04,169.93,10.67,154.16,34.83
scranton-pa,468,4.06,42.22,1.0,31.32,31.15,21.08,53.42,6.32,15.34,11.75,21.33
seattle-wa,5085,4.43,139.33,75.94,80.02,127.0,68.09,213.85,250.78,24.78,169.48,70.29
shawnee-ks,2777,4.4,31.53,40.38,89.41,39.65,115.19,187.54,121.34,6.63,94.81,15.87
shoreline-wa,4102,4.4,83.26,47.74,75.18,126.32,108.36,235.71,237.73,32.61,106.91,42.5
shreveport-la,164,3.59,16.8,3.17,26.52,47.64,21.44,50.09,28.06,11.49,27.82,13.47
simi-valley-ca,5588,4.56,87.35,106.18,87.77,88.29,56.25,268.62,255.6,38.71,245.64,90.02
